Name	Currency
DISCOVER FINANCIAL SERVICES	USD
AMERIPRISE FINANCIAL INC	USD
T ROWE PRICE GROUP INC	USD
MOODY'S CORP	USD
NORTHERN TRUST CORP	USD
INVESCO LTD	USD
FRANKLIN RESOURCES INC	USD
CBOE GLOBAL MARKETS INC	USD
ANNALY CAPITAL MANAGEMENT IN	USD
E*TRADE FINANCIAL CORP	USD
ALLY FINANCIAL INC	USD
TD AMERITRADE HOLDING CORP	USD
RAYMOND JAMES FINANCIAL INC	USD
AFFILIATED MANAGERS GROUP	USD
MSCI INC	USD
SEI INVESTMENTS COMPANY	USD
VOYA FINANCIAL INC	USD
LEUCADIA NATIONAL CORP	USD
NASDAQ INC	USD
AGNC INVESTMENT CORP	USD
FACTSET RESEARCH SYSTEMS INC	USD
MARKETAXESS HOLDINGS INC	USD
LAZARD LTD-CL A	USD
EATON VANCE CORP	USD
NEW RESIDENTIAL INVESTMENT	USD
STARWOOD PROPERTY TRUST INC	USD
LPL FINANCIAL HOLDINGS INC	USD
INTERACTIVE BROKERS GRO-CL A	USD
STIFEL FINANCIAL CORP	USD
SLM CORP	USD
NAVIENT CORP	USD
CREDIT ACCEPTANCE CORP	USD
CHIMERA INVESTMENT CORP	USD
BGC PARTNERS INC-CL A	USD
FEDERATED INVESTORS INC-CL B	USD
LEGG MASON INC	USD
EVERCORE INC - A	USD
MFA FINANCIAL INC	USD
FIRSTCASH INC	USD
BLACKSTONE MORTGAGE TRU-CL A	USD
TWO HARBORS INVESTMENT CORP	USD
SANTANDER CONSUMER USA HOLDI	USD
GREEN DOT CORP-CLASS A	USD
MORNINGSTAR INC	USD
WADDELL & REED FINANCIAL-A	USD
PRA GROUP INC	USD
ONEMAIN HOLDINGS INC	USD
INVESCO MORTGAGE CAPITAL	USD
APOLLO COMMERCIAL REAL ESTAT	USD
ARTISAN PARTNERS ASSET MA -A	USD
FINANCIAL ENGINES INC	USD
WISDOMTREE INVESTMENTS INC	USD
LENDINGCLUB CORP	USD
REDWOOD TRUST INC	USD
NELNET INC-CL A	USD
CYS INVESTMENTS INC	USD
ARMOUR RESIDENTIAL REIT INC	USD
PIPER JAFFRAY COS	USD
ENCORE CAPITAL GROUP INC	USD
PENNYMAC MORTGAGE INVESTMENT	USD
CANNAE HOLDINGS INC	USD
COHEN & STEERS INC	USD
VIRTUS INVESTMENT PARTNERS	USD
CAPSTEAD MORTGAGE CORP	USD
DONNELLEY FINANCIAL SOLUTION	USD
INVESTMENT TECHNOLOGY GROUP	USD
ANWORTH MORTGAGE ASSET CORP	USD
GREENHILL & CO INC	USD
GRANITE POINT MORTGAGE TRUST	USD
AMERICAN INTERNATIONAL GROUP	USD
PRUDENTIAL FINANCIAL INC	USD
METLIFE INC	USD
MARSH & MCLENNAN COS	USD
ALLSTATE CORP	USD
TRAVELERS COS INC/THE	USD
AFLAC INC	USD
PROGRESSIVE CORP	USD
HARTFORD FINANCIAL SVCS GRP	USD
PRINCIPAL FINANCIAL GROUP	USD
LINCOLN NATIONAL CORP	USD
MARKEL CORP	USD
LOEWS CORP	USD
UNUM GROUP	USD
CINCINNATI FINANCIAL CORP	USD
ARTHUR J GALLAGHER & CO	USD
FNF GROUP	USD
TORCHMARK CORP	USD
REINSURANCE GROUP OF AMERICA	USD
ALLEGHANY CORP	USD
AMERICAN FINANCIAL GROUP INC	USD
WR BERKLEY CORP	USD
FIRST AMERICAN FINANCIAL	USD
BROWN & BROWN INC	USD
ATHENE HOLDING LTD-CLASS A	USD
ASSURANT INC	USD
OLD REPUBLIC INTL CORP	USD
BRIGHTHOUSE FINANCIAL INC	USD
PRIMERICA INC	USD
HANOVER INSURANCE GROUP INC/	USD
CNO FINANCIAL GROUP INC	USD
WHITE MOUNTAINS INSURANCE GP	USD
SELECTIVE INSURANCE GROUP	USD
PROASSURANCE CORP	USD
KEMPER CORP	USD
AMERICAN EQUITY INVT LIFE HL	USD
RLI CORP	USD
HORACE MANN EDUCATORS	USD
GENWORTH FINANCIAL INC-CL A	USD
CNA FINANCIAL CORP	USD
MERCURY GENERAL CORP	USD
AMERICAN NATIONAL INSURANCE	USD
EMPLOYERS HOLDINGS INC	USD
SAFETY INSURANCE GROUP INC	USD
NATIONAL GENERAL HLDGS	USD
UNITED FIRE GROUP INC	USD
INFINITY PROPERTY & CASUALTY	USD
NAVIGATORS GROUP INC	USD
FBL FINANCIAL GROUP INC-CL A	USD
MBIA INC	USD
AMTRUST FINANCIAL SERVICES	USD
STATE AUTO FINANCIAL CORP	USD
JOHNSON & JOHNSON	USD
PFIZER INC	USD
MERCK & CO. INC.	USD
ABBVIE INC	USD
AMGEN INC	USD
BRISTOL-MYERS SQUIBB CO	USD
GILEAD SCIENCES INC	USD
ELI LILLY & CO	USD
CELGENE CORP	USD
THERMO FISHER SCIENTIFIC INC	USD
BIOGEN INC	USD
ALLERGAN PLC	USD
SHIRE PLC	GBp
VERTEX PHARMACEUTICALS INC	USD
ZOETIS INC	USD
ILLUMINA INC	USD
REGENERON PHARMACEUTICALS	USD
ALEXION PHARMACEUTICALS INC	USD
MYLAN NV	USD
AGILENT TECHNOLOGIES INC	USD
INCYTE CORP	USD
METTLER-TOLEDO INTERNATIONAL	USD
BIOMARIN PHARMACEUTICAL INC	USD
WATERS CORP	USD
IQVIA HOLDINGS INC	USD
ALNYLAM PHARMACEUTICALS INC	USD
NEKTAR THERAPEUTICS	USD
EXELIXIS INC	USD
BLUEBIRD BIO INC	USD
PERKINELMER INC	USD
VALEANT PHARMACEUTICALS INTE	CAD
NEUROCRINE BIOSCIENCES INC	USD
IONIS PHARMACEUTICALS INC	USD
UNITED THERAPEUTICS CORP	USD
SAGE THERAPEUTICS INC	USD
CATALENT INC	USD
EXACT SCIENCES CORP	USD
BIOVERATIV INC	USD
SEATTLE GENETICS INC	USD
CHARLES RIVER LABORATORIES	USD
BIO-RAD LABORATORIES-A	USD
BIO-TECHNE CORP	USD
PRA HEALTH SCIENCES INC	USD
BRUKER CORP	USD
SAREPTA THERAPEUTICS INC	USD
JUNO THERAPEUTICS INC	USD
TESARO INC	USD
FIBROGEN INC	USD
PUMA BIOTECHNOLOGY INC	USD
AKORN INC	USD
ACADIA PHARMACEUTICALS INC	USD
BLUEPRINT MEDICINES CORP	USD
CLOVIS ONCOLOGY INC	USD
LIGAND PHARMACEUTICALS	USD
AVEXIS INC	USD
PORTOLA PHARMACEUTICALS INC	USD
HORIZON PHARMA PLC	USD
AGIOS PHARMACEUTICALS INC	USD
HALOZYME THERAPEUTICS INC	USD
SYNEOS HEALTH INC	USD
PRESTIGE BRANDS HOLDINGS INC	USD
MYRIAD GENETICS INC	USD
AMICUS THERAPEUTICS INC	USD
ARRAY BIOPHARMA INC	USD
INSMED INC	USD
MALLINCKRODT PLC	USD
AERIE PHARMACEUTICALS INC	USD
LOXO ONCOLOGY INC	USD
IRONWOOD PHARMACEUTICALS INC	USD
SUPERNUS PHARMACEUTICALS INC	USD
MEDICINES COMPANY	USD
CAMBREX CORP	USD
EMERGENT BIOSOLUTIONS INC	USD
PACIRA PHARMACEUTICALS INC	USD
ULTRAGENYX PHARMACEUTICAL IN	USD
ACCELERON PHARMA INC	USD
OPKO HEALTH INC	USD
SPARK THERAPEUTICS INC	USD
MIMEDX GROUP INC	USD
REPLIGEN CORP	USD
THERAPEUTICSMD INC	USD
RADIUS HEALTH INC	USD
INNOVIVA INC	USD
ACORDA THERAPEUTICS INC	USD
INTERCEPT PHARMACEUTICALS IN	USD
MOMENTA PHARMACEUTICALS INC	USD
ALDER BIOPHARMACEUTICALS INC	USD
GENOMIC HEALTH INC	USD
INTREXON CORP	USD
INTRA-CELLULAR THERAPIES INC	USD
LUMINEX CORP	USD
LEXICON PHARMACEUTICALS INC	USD
ZIOPHARM ONCOLOGY INC	USD
FIVE PRIME THERAPEUTICS INC	USD
LANNETT CO INC	USD
KERYX BIOPHARMACEUTICALS	USD
EAGLE PHARMACEUTICALS INC	USD
AMAG PHARMACEUTICALS INC	USD
DEPOMED INC	USD
ADURO BIOTECH INC	USD
ACHILLION PHARMACEUTICALS	USD
INSYS THERAPEUTICS INC	USD
ESPERION THERAPEUTICS INC	USD
MACROGENICS INC	USD
NOVAVAX INC	USD
CIDARA THERAPEUTICS INC	USD
UNITEDHEALTH GROUP INC	USD
ABBOTT LABORATORIES	USD
CVS HEALTH CORP	USD
ANTHEM INC	USD
AETNA INC	USD
DANAHER CORP	USD
STRYKER CORP	USD
CIGNA CORP	USD
BECTON DICKINSON AND CO	USD
EXPRESS SCRIPTS HOLDING CO	USD
INTUITIVE SURGICAL INC	USD
HUMANA INC	USD
BOSTON SCIENTIFIC CORP	USD
MCKESSON CORP	USD
BAXTER INTERNATIONAL INC	USD
HCA HEALTHCARE INC	USD
ZIMMER BIOMET HOLDINGS INC	USD
EDWARDS LIFESCIENCES CORP	USD
CARDINAL HEALTH INC	USD
CERNER CORP	USD
ALIGN TECHNOLOGY INC	USD
CENTENE CORP	USD
LABORATORY CRP OF AMER HLDGS	USD
DENTSPLY SIRONA INC	USD
AMERISOURCEBERGEN CORP	USD
QUEST DIAGNOSTICS INC	USD
IDEXX LABORATORIES INC	USD
RESMED INC	USD
HOLOGIC INC	USD
HENRY SCHEIN INC	USD
DAVITA INC	USD
TELEFLEX INC	USD
COOPER COS INC/THE	USD
VARIAN MEDICAL SYSTEMS INC	USD
UNIVERSAL HEALTH SERVICES-B	USD
WELLCARE HEALTH PLANS INC	USD
ABIOMED INC	USD
WEST PHARMACEUTICAL SERVICES	USD
VEEVA SYSTEMS INC-CLASS A	USD
HILL-ROM HOLDINGS INC	USD
ATHENAHEALTH INC	USD
MEDNAX INC	USD
DEXCOM INC	USD
ENCOMPASS HEALTH CORP	USD
INSULET CORP	USD
CANTEL MEDICAL CORP	USD
ENVISION HEALTHCARE CORP	USD
MASIMO CORP	USD
CHEMED CORP	USD
MEDIDATA SOLUTIONS INC	USD
MOLINA HEALTHCARE INC	USD
NEOGEN CORP	USD
NUVASIVE INC	USD
INTEGRA LIFESCIENCES HOLDING	USD
HAEMONETICS CORP/MASS	USD
ICU MEDICAL INC	USD
PATTERSON COS INC	USD
ALLSCRIPTS HEALTHCARE SOLUTI	USD
ACADIA HEALTHCARE CO INC	USD
GLOBUS MEDICAL INC - A	USD
PENUMBRA INC	USD
HEALTHEQUITY INC	USD
LIFEPOINT HEALTH INC	USD
HALYARD HEALTH INC	USD
MERIT MEDICAL SYSTEMS INC	USD
AMN HEALTHCARE SERVICES INC	USD
INOGEN INC	USD
MAGELLAN HEALTH INC	USD
OMNICELL INC	USD
TELADOC INC	USD
SELECT MEDICAL HOLDINGS CORP	USD
NEVRO CORP	USD
VAREX IMAGING CORP	USD
HMS HOLDINGS CORP	USD
BROOKDALE SENIOR LIVING INC	USD
INTEGER HOLDINGS CORP	USD
CONMED CORP	USD
AMEDISYS INC	USD
PREMIER INC-CLASS A	USD
NXSTAGE MEDICAL INC	USD
TENET HEALTHCARE CORP	USD
QUIDEL CORP	USD
NATUS MEDICAL INC	USD
TIVITY HEALTH INC	USD
COTIVITI HOLDINGS INC	USD
OWENS & MINOR INC	USD
ANALOGIC CORP	USD
ABAXIS INC	USD
DIPLOMAT PHARMACY INC	USD
ENSIGN GROUP INC/THE	USD
CORVEL CORP	USD
LHC GROUP INC	USD
ORTHOFIX INTERNATIONAL NV	USD
KINDRED HEALTHCARE INC	USD
EVOLENT HEALTH INC - A	USD
MERIDIAN BIOSCIENCE INC	USD
QUALITY SYSTEMS INC	USD
COMMUNITY HEALTH SYSTEMS INC	USD
AMAZON.COM INC	USD
HOME DEPOT INC	USD
BOOKING HOLDINGS INC	USD
LOWE'S COS INC	USD
NETFLIX INC	USD
TJX COMPANIES INC	USD
TARGET CORP	USD
ROSS STORES INC	USD
DOLLAR GENERAL CORP	USD
DOLLAR TREE INC	USD
O'REILLY AUTOMOTIVE INC	USD
AUTOZONE INC	USD
BEST BUY CO INC	USD
EXPEDIA GROUP INC	USD
L BRANDS INC	USD
GENUINE PARTS CO	USD
ULTA BEAUTY INC	USD
LKQ CORP	USD
CARMAX INC	USD
TIFFANY & CO	USD
QURATE RETAIL INC QVC GROUP	USD
TRACTOR SUPPLY COMPANY	USD
KOHLS CORP	USD
GAP INC/THE	USD
BURLINGTON STORES INC	USD
MACY'S INC	USD
ADVANCE AUTO PARTS INC	USD
FOOT LOCKER INC	USD
NORDSTROM INC	USD
POOL CORP	USD
WILLIAMS-SONOMA INC	USD
AUTONATION INC	USD
LIBERTY VENTURES - SER A	USD
SIGNET JEWELERS LTD	USD
TRIPADVISOR INC	USD
WAYFAIR INC- CLASS A	USD
FIVE BELOW	USD
BED BATH & BEYOND INC	USD
AMERICAN EAGLE OUTFITTERS	USD
MICHAELS COS INC/THE	USD
URBAN OUTFITTERS INC	USD
MURPHY USA INC	USD
OLLIE'S BARGAIN OUTLET HOLDI	USD
AARON'S INC	USD
LITHIA MOTORS INC-CL A	USD
BIG LOTS INC	USD
LIBERTY EXPEDIA HOLD-A	USD
DICK'S SPORTING GOODS INC	USD
CHILDREN'S PLACE INC/THE	USD
SALLY BEAUTY HOLDINGS INC	USD
OFFICE DEPOT INC	USD
DSW INC-CLASS A	USD
RH	USD
GROUPON INC	USD
GAMESTOP CORP-CLASS A	USD
PENSKE AUTOMOTIVE GROUP INC	USD
MONRO INC	USD
NUTRISYSTEM INC	USD
SLEEP NUMBER CORP	USD
SHUTTERFLY INC	USD
CORE-MARK HOLDING CO INC	USD
ABERCROMBIE & FITCH CO-CL A	USD
GROUP 1 AUTOMOTIVE INC	USD
CALERES INC	USD
	
ASBURY AUTOMOTIVE GROUP	USD
GUESS? INC	USD
CHICO'S FAS INC	USD
DILLARDS INC-CL A	USD
TAILORED BRANDS INC	USD
J.C. PENNEY CO INC	USD
LUMBER LIQUIDATORS HOLDINGS	USD
EXPRESS INC	USD
LIBERTY TRIPADVISOR HDG-A	USD
SONIC AUTOMOTIVE INC-CLASS A	USD
